users,SYSTEMS Coffee,FATA Seminar: Game Balancing and Player Learning: An Experiment,Systems seminar: Pricing Python Parallelism,A Shameless (Wireless) PLUG: A graphical language for closed monoidal categories,VIRTUAL SEMINAR SERIES -- INTEGRABLE SYSTEMS: TBA,Heterochiral Peptide Assembly: Entry to Wonderland through the Mirror,A primer to topological infinite graph theory and how to force Hamiltonicity in locally finite graphs via forbidden induced subgraphs,On the expected number of random primes required to generate a Galois group,Target-based anti-infective discovery,GCEC Seminar: Micromorphic Tissue Mechanics Accounting For Non-Affine Myocardial Deformation Characteristics,Correlations in microswimmer suspensions,FATA Coffee,C*-envelope and dilation theory on semigroup dynamical systems,CANCELLED,TBA,"Where is iconicity in language, and why isn’t there more of it?",Sensory perception in autism: an fMRI ALE meta-analysis,"Surgeries on torus knots, rational balls, and cabling",FATA Seminar: TBC,Quantum synchronisation,Exam Anxiety: Is it Something To Worry About?,Bayesian model-based clustering in high dimensions,On the spectrum of the curl operator and the helicity of a bounded domain,TBC,An anatomical and evolutionary approach to facial expression across species,Seminar by Ravinder Dahiya,Influence of oxytocin on amygdala activation to negatively-valenced social stimuli in autistic and non-autistic women,A Shameless (Wireless) PLUG: Temporal Language-Integrated Query,More Than 1+1: Supporting Highly Able Maths Minds In The Classroom,VIRTUAL SEMINAR SERIES -- INTEGRABLE SYSTEMS: Trigonometric real form of the spin RS model of Krichever and Zabrodin,Perturbing graphs by a random regular graph: Hamiltonicity and pancyclicity,tba,Multiscale modelling of T-cell development and selection in the thymus,Partial actions of finite groups- decomposability and Rokhlin theory.,Seminar by Søren Hauberg & Martin Jørgensen ,Understanding infectious disease transmission and control - a view from the coalface,A Shameless (Wireless) PLUG: Title TBC,A Pósa-type degree sequence result for perfect matchings in 3-graphs.,The Simplicity of Rearrangements,Cyclotaxanes as Synthetic Challenges
user1,,,,,3.5,,4,,,,,,,,,,5,,,,,,,,4,2.5,1.5,,,,1.5,,1,,,5,,,3.5,
user2,,,3,,,1.5,1.5,,2,,,,,,4,4,,,,,,,,,3,,,3,4.5,2,1,,,,,,,,,2
user3,,,,,,,,,,,1.5,2,,4.5,,3.5,,,,,,5,3.5,,,3,1.5,2,,,,,3,,,,,2,,
user4,,,,2,,4.5,4,,,,,,,2.5,,,1.5,2.5,,,,1.5,,,,,,,2.5,,,5,,5,4.5,,,,3.5,3.5
user5,,,,,,3,,,5,,,,2,,,2.5,,,,,2,2.5,,4.5,,,,,2.5,4,,,,,,2.5,,,,
user6,,,,3.5,,,,,,,,,,,5,,3,3,3.5,,4.5,,,1.5,1,,,,,,,,,,,,4,,,
user7,,,5,4,,,2.5,3.5,,,1,,,,,,1.5,,,,,,,2,,,4,2.5,3,5,,1,,,,,,4,4.5,
user8,,,,,,5,,,,,,,,3.5,2.5,,,,,,2.5,,4.5,1.5,,,4.5,,,,,5,1.5,,,,2,,,
user9,,1.5,,,,,,,,,,,,1,,,,,,,4,2.5,1.5,,,,,,,,,,3.5,2.5,4.5,,,,,
user10,4.5,,,1.5,,,,,5,,,,,,2,,,,4.5,4.5,,,,,,,4.5,,,3.5,,1,,4.5,,,,,,
user11,4,,,,,,,,1.5,4,1.5,,2.5,,,,4,4.5,,,,2.5,,,,,,,1.5,3,,,,3.5,,,,,,
user12,,,,5,,,2.5,3,2,,,,,,,,,,,2,,,,,,,3.5,1,,,,,2,,,,,,,
user13,4,1.5,,,2,3.5,,,3,,,,,,,,,,2.5,,,,5,,,1,,,,,,3,4.5,5,3,,,2.5,,
user14,,,3.5,,,,,,,,,,3.5,,,,,1.5,,,,2,1.5,,2.5,,,,4.5,,,3,4,,,4,3.5,,3.5,
user15,1.5,3.5,,,,,,,1,,,,,,1,,,3,4.5,2.5,,,,,,,,,1,2.5,,4,,,,,3,,,
user16,,1,,,3.5,,,,,4,5,,,,,,1.5,,,,,,,,,,,,,,5,,,,,,,,4,
user17,,,5,2.5,,,,5,,,,,,,,,,3,3.5,,3.5,1.5,,3.5,,,,,,,,,,,,,,,,
user18,,,,2.5,,1,,1.5,,,,,,5,3,1,,,,,,1,,,,,,,,4.5,,2,,,,,,,,
user19,,1,,2.5,1.5,,,,,,,,,,3,1,1.5,,,,4,,3,,,,3.5,2,2.5,,5,4.5,,,,,3.5,,,3.5
user20,,,,,3.5,4,,,,,1,,,,1.5,,,,5,,,,,,,,,,,,,4.5,,,,1,,,,
user21,,,,,,4,,,,5,,,,,,,,,5,,3,3.5,2.5,,,,,,,4.5,,,,,,,,,,
user22,,,,,,,,,,,4,3,,,,3.5,,,,3,,,5,,,,,,,3,,,4.5,,,4,,,,
user23,,,,,,,,,,,3,,,3.5,,,,,,1.5,3.5,1.5,,,,,,,5,,,3.5,,1,2.5,,,,,
user24,,,,,,,,,,5,,,,,,,4.5,,,,,,,,,,4.5,,,,,3,,,,1.5,4.5,,,4.5
user25,,,2.5,1.5,,,,,3,,,,,,,,1,,5,,,,,,,2.5,,,,5,,,,4,,1.5,2.5,,,
user26,,,,,,3,,,,,,,,,,,,2,,3,,,,1,,5,1,,,,4.5,3,,4.5,,,,,1.5,
user27,,,,,,,2.5,,,5,,3,4.5,,1,,,,,,,1,,5,,,,,,,,,3.5,,4,4.5,,,,
user28,1,,4,,,5,2.5,,,3.5,,,3,,,,,,,5,2.5,,1.5,1.5,,,,,,,,,4,,,,,,,
user29,,,,1,3.5,4.5,,,1.5,,,,,,1,,,,,,,4.5,,1,,,,,,,,,,,2.5,,,,,
user30,,,1,3,4,,,,,,,,,,,,,,,,1,4,,3.5,,,,,,,5,,,,,,,2.5,,
user31,,,2.5,,2.5,4,,2,,2.5,,1,,,,3.5,2,,,,,,5,,2.5,,,,,,,,,,,,1,,,4
user32,,,,,,4.5,3,3.5,,3,,4.5,5,,,,,,,2,,,,,,,,,,,2,,,,,,,,,
user33,,,,,,5,,,,2.5,,4,1.5,4,,,,,,3,,,2.5,,,,,,,1,,,,,,,,2,,
user34,,,,,,5,5,1.5,,,,,,1.5,2,5,,,1.5,1,,,,5,5,4.5,1.5,,1,1.5,5,,,,4,,,,,
user35,,,,,,,,4,,2.5,,,4.5,,,,,,,,,1,,,,,5,,,,,3.5,,,,2.5,,3.5,,3
user36,3.5,,3,,,,,,,,,3.5,,,,,,,,,,,2.5,,,,,,,,,1,,,,,,,,
user37,,2,2,4,,2,1.5,,,3.5,,2,,3.5,,4,,,1,2,,1,,,,2,,,,,,,,,,3.5,1.5,,,
user38,1,4.5,,,,,,,,,,,,,,3,3,2,,,,,,,,5,,,,,,,,,,3.5,2,,,
user39,,,,,,,,4.5,,4.5,,,,4,,,,,2,,,,1.5,,,2.5,1,,4,,,3,,,5,,,,,
user40,,,,,,,,,,,,,1.5,2.5,,,,,2.5,,3,,3,,,,,,,5,,5,,,,1.5,1,,,
user41,,3.5,1,3.5,4.5,,3,,,,1.5,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,
user42,,3,1.5,,,,,,,4.5,,,,,3.5,3.5,,,,,3,,,,2.5,1.5,,,,,,,,,,1,,,,
user43,,3.5,,,,3.5,,,2.5,4.5,1,,,,,,,,,4.5,,,,,4.5,3.5,,,,,,,,1,2,1,1.5,,,
user44,,,3,,,,,,,,,,,1,,2.5,,3,,,,,,,,,,,3,,,,,2.5,,,,3,,
user45,,,,2.5,,,,,,,,,4,1.5,4.5,,,,,,5,,,,,,,1.5,,,,,,,,,,,5,4
user46,,2,,,,,1.5,,,4.5,,,1.5,,,,,,,,,4,,3.5,4.5,5,,,,,,,,,,,,3.5,,3
user47,,1.5,2,,,4,,,,3,5,,1,1,,,2.5,2,,,,,,,,,3,,,5,,1,3,,,3.5,,,,
user48,2.5,,1.5,,,,,,,,,,,,,,3.5,5,4,,,4,,,,,,,,,,,,,2,,,1,,
user49,,,,,,,,,,,,,,,3.5,,5,3.5,,3,,,4.5,,,,,,,,,,,,,1,,,2.5,
user50,,4.5,,,,2,1.5,,,,5,,,,,,,3.5,,3,,,,,,1,,,,,,2,4,,,,,,,4
user51,,,,,5,,,,,,,4.5,,4,,,,,3,1,,,,,,2.5,,,,,,,,,,,,2.5,,
user52,,,,2,2.5,,,,,,,,,1.5,1.5,,,,,1,3.5,,,,,,,,,,,,,,,5,,,,
user53,,2,,,,,,1,,1,,2.5,,,2.5,,,,,,,,,,,,,,,,,,3,3.5,,1,,,1,
user54,5,,,,,,,,,2.5,4,,,1.5,,,,4.5,,,,,3.5,,,,3,4,5,,,,,,,3.5,,4,1,2
